,State,District,Latitude,Longitude,District code,State name,Population,Male_Literate,Female_Literate,sex_ratio,literacy_rate
268,Maharashtra,Akola,20.746310479041902,77.12122320359276,501,MAHARASHTRA,1813906,758977,652304,95.0,78.0
269,Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,MAHARASHTRA,2888445,1207104,1044771,95.0,78.0
270,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,BIHAR,2540073,868733,597269,93.0,58.0
271,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,MAHARASHTRA,3701282,1430936,1072901,92.0,68.0
272,Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,MAHARASHTRA,1200334,488709,411151,98.0,75.0
273,Maharashtra,Bid,18.952353340080982,75.69319706477731,523,MAHARASHTRA,2585049,987185,731322,92.0,66.0
274,Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,MAHARASHTRA,2586258,1048892,830982,93.0,73.0
275,Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,MAHARASHTRA,2204307,872565,706050,96.0,72.0
276,Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,MAHARASHTRA,2050862,723388,570528,95.0,63.0
277,Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,MAHARASHTRA,1322507,542837,461406,100.0,76.0
278,Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,MAHARASHTRA,1177345,450551,340192,94.0,67.0
279,Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,MAHARASHTRA,4229917,1629223,1262659,92.0,68.0
280,Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,MAHARASHTRA,1959046,699428,496095,94.0,61.0
281,Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,MAHARASHTRA,3876001,1559760,1266085,96.0,73.0
282,Maharashtra,Latur,18.348687268993856,76.75812607802874,524,MAHARASHTRA,2454196,932432,718240,93.0,67.0
